source,translated,context
Advanced Compliance,Erweiterte Compliance,
Control Activity,Kontrollaktivität,
Control Activities,Kontrollaktivitäten,
Risk Register Entry,Risikoeintrag,
Risk Register,Risikoregister,
Test Execution,Testdurchführung,
Deficiency,Mangel,
Control Evidence,Kontrollnachweis,
Regulatory Update,Regulatorisches Update,
Regulatory Feed Source,Regulatorische Datenquelle,
Knowledge Graph,Wissensgraph,
Control Owner,Kontrollverantwortlicher,
Control Type,Kontrolltyp,
Preventive,Präventiv,
Detective,Detektiv,
Corrective,Korrigierend,
Frequency,Häufigkeit,
Daily,Täglich,
Weekly,Wöchentlich,
Monthly,Monatlich,
Quarterly,Vierteljährlich,
Annually,Jährlich,
Status,Status,
Active,Aktiv,
Draft,Entwurf,
Deprecated,Veraltet,
Pending,Ausstehend,
In Progress,In Bearbeitung,
Completed,Abgeschlossen,
Passed,Bestanden,
Failed,Nicht bestanden,
Key Control,Schlüsselkontrolle,
Risk Score,Risikobewertung,
Impact,Auswirkung,
Likelihood,Wahrscheinlichkeit,
Severity,Schweregrad,
Critical,Kritisch,
High,Hoch,
Medium,Mittel,
Low,Niedrig,
Minor,Geringfügig,
Major,Schwerwiegend,
Moderate,Moderat,
Dashboard,Dashboard,
Compliance Dashboard,Compliance-Dashboard,
Open Deficiencies,Offene Mängel,
Pending Tests,Ausstehende Tests,
Active Controls,Aktive Kontrollen,
Active Risks,Aktive Risiken,
New Updates,Neue Updates,
Risk Heatmap,Risiko-Heatmap,
Test Results,Testergebnisse,
Evidence,Nachweise,
Remediation,Behebung,
Due Date,Fälligkeitsdatum,
Effective Date,Inkrafttretensdatum,
Publication Date,Veröffentlichungsdatum,
days overdue,Tage überfällig,
Due today,Heute fällig,
No date set,Kein Datum gesetzt,
Go to Control Activities,Zu Kontrollaktivitäten,
Go to Risk Register,Zum Risikoregister,
Go to Test Executions,Zu Testdurchführungen,
Go to Compliance Dashboard,Zum Compliance-Dashboard,
New deficiency created,Neuer Mangel erstellt,
New regulatory update,Neues regulatorisches Update,
Description,Beschreibung,
Owner,Verantwortlicher,
Type,Typ,
Tests,Tests,
Last Test,Letzter Test,
Never,Nie,
Tips,Tipps,
Help,Hilfe,
