source,translated,context
Advanced Compliance,Conformité Avancée,
Control Activity,Activité de Contrôle,
Control Activities,Activités de Contrôle,
Risk Register Entry,Entrée du Registre des Risques,
Risk Register,Registre des Risques,
Test Execution,Exécution de Test,
Deficiency,Déficience,
Control Evidence,Preuve de Contrôle,
Regulatory Update,Mise à Jour Réglementaire,
Regulatory Feed Source,Source de Données Réglementaires,
Knowledge Graph,Graphe de Connaissances,
Control Owner,Responsable du Contrôle,
Control Type,Type de Contrôle,
Preventive,Préventif,
Detective,Détectif,
Corrective,Correctif,
Frequency,Fréquence,
Daily,Quotidien,
Weekly,Hebdomadaire,
Monthly,Mensuel,
Quarterly,Trimestriel,
Annually,Annuel,
Status,Statut,
Active,Actif,
Draft,Brouillon,
Deprecated,Obsolète,
Pending,En Attente,
In Progress,En Cours,
Completed,Terminé,
Passed,Réussi,
Failed,Échoué,
Key Control,Contrôle Clé,
Risk Score,Score de Risque,
Impact,Impact,
Likelihood,Probabilité,
Severity,Sévérité,
Critical,Critique,
High,Élevé,
Medium,Moyen,
Low,Faible,
Minor,Mineur,
Major,Majeur,
Moderate,Modéré,
Dashboard,Tableau de Bord,
Compliance Dashboard,Tableau de Bord de Conformité,
Open Deficiencies,Déficiences Ouvertes,
Pending Tests,Tests en Attente,
Active Controls,Contrôles Actifs,
Active Risks,Risques Actifs,
New Updates,Nouvelles Mises à Jour,
Risk Heatmap,Carte de Chaleur des Risques,
Test Results,Résultats des Tests,
Evidence,Preuves,
Remediation,Remédiation,
Due Date,Date d'Échéance,
Effective Date,Date d'Entrée en Vigueur,
Publication Date,Date de Publication,
days overdue,jours de retard,
Due today,Échéance aujourd'hui,
No date set,Aucune date définie,
Go to Control Activities,Aller aux Activités de Contrôle,
Go to Risk Register,Aller au Registre des Risques,
Go to Test Executions,Aller aux Exécutions de Test,
Go to Compliance Dashboard,Aller au Tableau de Bord,
New deficiency created,Nouvelle déficience créée,
New regulatory update,Nouvelle mise à jour réglementaire,
Description,Description,
Owner,Responsable,
Type,Type,
Tests,Tests,
Last Test,Dernier Test,
Never,Jamais,
Tips,Conseils,
Help,Aide,
